trades,winrate%,total%,CAGR%,maxDD%,end$,calmar,config,risk%,min_conf,tp3,symbols,bias_n
139,58.3,260.0,17.71,-24.8,35998.0,0.71,risk=3.0% conf>=3 tp3=fixed_R_6.0 all bias_n=5,3.0,3,fixed_R_6.0,all,5
95,62.1,248.6,17.31,-17.6,34861.0,0.98,risk=3.0% conf>=3 tp3=fixed_R_4.0 no_US2000 bias_n=5,3.0,3,fixed_R_4.0,no_US2000,5
89,61.8,243.8,17.1,-20.1,34384.0,0.85,risk=3.0% conf>=3 tp3=fixed_R_6.0 no_US2000 bias_n=5,3.0,3,fixed_R_6.0,no_US2000,5
123,57.7,246.4,17.05,-26.0,34640.0,0.66,risk=3.0% conf>=2 tp3=fixed_R_4.0 no_US2000 bias_n=5,3.0,2,fixed_R_4.0,no_US2000,5
147,57.8,227.8,16.31,-22.5,32776.0,0.73,risk=3.0% conf>=3 tp3=fixed_R_4.0 all bias_n=5,3.0,3,fixed_R_4.0,all,5
105,58.1,196.8,14.92,-16.0,29680.0,0.93,risk=3.0% conf>=3 tp3=swing_30 no_US2000 bias_n=5,3.0,3,swing_30,no_US2000,5
159,54.7,191.7,14.59,-20.9,29166.0,0.7,risk=3.0% conf>=3 tp3=swing_30 all bias_n=5,3.0,3,swing_30,all,5
116,54.3,192.8,14.58,-29.8,29277.0,0.49,risk=3.0% conf>=2 tp3=fixed_R_6.0 no_US2000 bias_n=5,3.0,2,fixed_R_6.0,no_US2000,5
138,56.5,190.4,14.53,-26.3,29036.0,0.55,risk=3.0% conf>=3 tp3=fixed_R_6.0 all bias_n=3,3.0,3,fixed_R_6.0,all,3
87,59.8,185.9,14.37,-19.3,28591.0,0.75,risk=3.0% conf>=3 tp3=fixed_R_6.0 no_US2000 bias_n=3,3.0,3,fixed_R_6.0,no_US2000,3
149,55.0,185.9,14.23,-24.0,28590.0,0.59,risk=3.0% conf>=2 tp3=swing_30 no_US2000 bias_n=5,3.0,2,swing_30,no_US2000,5
94,58.5,180.3,14.09,-15.8,28034.0,0.89,risk=3.0% conf>=3 tp3=fixed_R_4.0 no_US2000 bias_n=3,3.0,3,fixed_R_4.0,no_US2000,3
120,54.2,166.6,13.23,-30.4,26662.0,0.44,risk=3.0% conf>=2 tp3=fixed_R_4.0 no_US2000 bias_n=3,3.0,2,fixed_R_4.0,no_US2000,3
147,55.1,155.7,12.69,-23.7,25569.0,0.54,risk=3.0% conf>=3 tp3=fixed_R_4.0 all bias_n=3,3.0,3,fixed_R_4.0,all,3
157,54.1,150.3,12.39,-21.0,25032.0,0.59,risk=3.0% conf>=3 tp3=swing_30 all bias_n=3,3.0,3,swing_30,all,3
102,56.9,147.4,12.28,-15.6,24739.0,0.79,risk=3.0% conf>=3 tp3=swing_30 no_US2000 bias_n=3,3.0,3,swing_30,no_US2000,3
139,58.3,142.5,11.93,-17.2,24246.0,0.69,risk=2.0% conf>=3 tp3=fixed_R_6.0 all bias_n=5,2.0,3,fixed_R_6.0,all,5
95,62.1,134.3,11.5,-12.0,23434.0,0.96,risk=2.0% conf>=3 tp3=fixed_R_4.0 no_US2000 bias_n=5,2.0,3,fixed_R_4.0,no_US2000,5
89,61.8,133.1,11.43,-13.8,23313.0,0.83,risk=2.0% conf>=3 tp3=fixed_R_6.0 no_US2000 bias_n=5,2.0,3,fixed_R_6.0,no_US2000,5
123,57.7,134.5,11.41,-18.0,23455.0,0.63,risk=2.0% conf>=2 tp3=fixed_R_4.0 no_US2000 bias_n=5,2.0,2,fixed_R_4.0,no_US2000,5
179,52.0,131.4,11.21,-45.7,23141.0,0.25,risk=3.0% conf>=2 tp3=fixed_R_6.0 all bias_n=5,3.0,2,fixed_R_6.0,all,5
195,52.3,130.8,11.18,-43.9,23076.0,0.25,risk=3.0% conf>=2 tp3=fixed_R_4.0 all bias_n=5,3.0,2,fixed_R_4.0,all,5
112,50.9,129.3,11.08,-34.0,22927.0,0.33,risk=3.0% conf>=2 tp3=fixed_R_6.0 no_US2000 bias_n=3,3.0,2,fixed_R_6.0,no_US2000,3
147,57.8,126.5,10.96,-15.5,22647.0,0.71,risk=2.0% conf>=3 tp3=fixed_R_4.0 all bias_n=5,2.0,3,fixed_R_4.0,all,5
142,53.5,123.2,10.7,-28.5,22316.0,0.38,risk=3.0% conf>=2 tp3=swing_30 no_US2000 bias_n=3,3.0,2,swing_30,no_US2000,3
228,50.9,113.1,10.06,-34.3,21308.0,0.29,risk=3.0% conf>=2 tp3=swing_30 all bias_n=5,3.0,2,swing_30,all,5
116,54.3,110.7,9.9,-20.9,21071.0,0.47,risk=2.0% conf>=2 tp3=fixed_R_6.0 no_US2000 bias_n=5,2.0,2,fixed_R_6.0,no_US2000,5
138,56.5,109.9,9.89,-18.3,20987.0,0.54,risk=2.0% conf>=3 tp3=fixed_R_6.0 all bias_n=3,2.0,3,fixed_R_6.0,all,3
106,57.5,107.5,9.78,-10.9,20746.0,0.9,risk=2.0% conf>=3 tp3=swing_30 no_US2000 bias_n=5,2.0,3,swing_30,no_US2000,5
149,55.0,107.7,9.7,-16.5,20771.0,0.59,risk=2.0% conf>=2 tp3=swing_30 no_US2000 bias_n=5,2.0,2,swing_30,no_US2000,5
160,54.4,106.7,9.68,-14.4,20670.0,0.67,risk=2.0% conf>=3 tp3=swing_30 all bias_n=5,2.0,3,swing_30,all,5
87,59.8,105.9,9.67,-13.2,20591.0,0.73,risk=2.0% conf>=3 tp3=fixed_R_6.0 no_US2000 bias_n=3,2.0,3,fixed_R_6.0,no_US2000,3
94,58.5,102.6,9.44,-10.7,20257.0,0.88,risk=2.0% conf>=3 tp3=fixed_R_4.0 no_US2000 bias_n=3,2.0,3,fixed_R_4.0,no_US2000,3
120,54.2,96.9,8.96,-21.2,19688.0,0.42,risk=2.0% conf>=2 tp3=fixed_R_4.0 no_US2000 bias_n=3,2.0,2,fixed_R_4.0,no_US2000,3
147,55.1,91.9,8.65,-16.2,19186.0,0.53,risk=2.0% conf>=3 tp3=fixed_R_4.0 all bias_n=3,2.0,3,fixed_R_4.0,all,3
175,50.3,88.7,8.38,-45.7,18869.0,0.18,risk=3.0% conf>=2 tp3=fixed_R_6.0 all bias_n=3,3.0,2,fixed_R_6.0,all,3
158,53.8,86.4,8.24,-14.5,18636.0,0.57,risk=2.0% conf>=3 tp3=swing_30 all bias_n=3,2.0,3,swing_30,all,3
192,50.5,84.9,8.1,-44.7,18492.0,0.18,risk=3.0% conf>=2 tp3=fixed_R_4.0 all bias_n=3,3.0,2,fixed_R_4.0,all,3
103,56.3,83.4,8.06,-10.6,18341.0,0.76,risk=2.0% conf>=3 tp3=swing_30 no_US2000 bias_n=3,2.0,3,swing_30,no_US2000,3
221,50.7,83.8,8.02,-35.1,18383.0,0.23,risk=3.0% conf>=2 tp3=swing_30 all bias_n=3,3.0,2,swing_30,all,3
179,52.0,81.6,7.85,-33.0,18164.0,0.24,risk=2.0% conf>=2 tp3=fixed_R_6.0 all bias_n=5,2.0,2,fixed_R_6.0,all,5
195,52.3,80.5,7.77,-31.6,18052.0,0.25,risk=2.0% conf>=2 tp3=fixed_R_4.0 all bias_n=5,2.0,2,fixed_R_4.0,all,5
112,50.9,78.8,7.64,-24.0,17883.0,0.32,risk=2.0% conf>=2 tp3=fixed_R_6.0 no_US2000 bias_n=3,2.0,2,fixed_R_6.0,no_US2000,3
142,53.5,75.7,7.4,-19.8,17568.0,0.37,risk=2.0% conf>=2 tp3=swing_30 no_US2000 bias_n=3,2.0,2,swing_30,no_US2000,3
228,50.9,72.6,7.16,-23.8,17262.0,0.3,risk=2.0% conf>=2 tp3=swing_30 all bias_n=5,2.0,2,swing_30,all,5
139,58.3,58.3,6.02,-9.0,15834.0,0.67,risk=1.0% conf>=3 tp3=fixed_R_6.0 all bias_n=5,1.0,3,fixed_R_6.0,all,5
175,50.3,58.3,5.99,-33.0,15834.0,0.18,risk=2.0% conf>=2 tp3=fixed_R_6.0 all bias_n=3,2.0,2,fixed_R_6.0,all,3
221,50.7,56.1,5.8,-24.4,15605.0,0.24,risk=2.0% conf>=2 tp3=swing_30 all bias_n=3,2.0,2,swing_30,all,3
192,50.5,55.6,5.76,-32.2,15564.0,0.18,risk=2.0% conf>=2 tp3=fixed_R_4.0 all bias_n=3,2.0,2,fixed_R_4.0,all,3
95,62.1,54.6,5.73,-6.2,15461.0,0.93,risk=1.0% conf>=3 tp3=fixed_R_4.0 no_US2000 bias_n=5,1.0,3,fixed_R_4.0,no_US2000,5
89,61.8,54.6,5.72,-7.1,15456.0,0.8,risk=1.0% conf>=3 tp3=fixed_R_6.0 no_US2000 bias_n=5,1.0,3,fixed_R_6.0,no_US2000,5
123,57.7,55.0,5.71,-9.3,15504.0,0.61,risk=1.0% conf>=2 tp3=fixed_R_4.0 no_US2000 bias_n=5,1.0,2,fixed_R_4.0,no_US2000,5
147,57.8,52.5,5.52,-8.0,15252.0,0.69,risk=1.0% conf>=3 tp3=fixed_R_4.0 all bias_n=5,1.0,3,fixed_R_4.0,all,5
138,56.5,47.2,5.05,-9.6,14722.0,0.53,risk=1.0% conf>=3 tp3=fixed_R_6.0 all bias_n=3,1.0,3,fixed_R_6.0,all,3
116,54.3,47.4,5.04,-11.0,14737.0,0.46,risk=1.0% conf>=2 tp3=fixed_R_6.0 no_US2000 bias_n=5,1.0,2,fixed_R_6.0,no_US2000,5
149,55.0,46.4,4.95,-8.5,14642.0,0.58,risk=1.0% conf>=2 tp3=swing_30 no_US2000 bias_n=5,1.0,2,swing_30,no_US2000,5
160,54.4,46.2,4.95,-7.4,14622.0,0.67,risk=1.0% conf>=3 tp3=swing_30 all bias_n=5,1.0,3,swing_30,all,5
106,57.5,45.9,4.95,-5.6,14591.0,0.89,risk=1.0% conf>=3 tp3=swing_30 no_US2000 bias_n=5,1.0,3,swing_30,no_US2000,5
87,59.8,45.2,4.88,-6.8,14517.0,0.72,risk=1.0% conf>=3 tp3=fixed_R_6.0 no_US2000 bias_n=3,1.0,3,fixed_R_6.0,no_US2000,3
94,58.5,43.7,4.75,-5.4,14372.0,0.88,risk=1.0% conf>=3 tp3=fixed_R_4.0 no_US2000 bias_n=3,1.0,3,fixed_R_4.0,no_US2000,3
120,54.2,42.0,4.54,-11.1,14200.0,0.41,risk=1.0% conf>=2 tp3=fixed_R_4.0 no_US2000 bias_n=3,1.0,2,fixed_R_4.0,no_US2000,3
147,55.1,40.4,4.41,-8.3,14036.0,0.53,risk=1.0% conf>=3 tp3=fixed_R_4.0 all bias_n=3,1.0,3,fixed_R_4.0,all,3
158,53.8,38.7,4.25,-7.5,13872.0,0.57,risk=1.0% conf>=3 tp3=swing_30 all bias_n=3,1.0,3,swing_30,all,3
103,56.3,37.1,4.11,-5.4,13706.0,0.76,risk=1.0% conf>=3 tp3=swing_30 no_US2000 bias_n=3,1.0,3,swing_30,no_US2000,3
179,52.0,37.4,4.11,-17.9,13738.0,0.23,risk=1.0% conf>=2 tp3=fixed_R_6.0 all bias_n=5,1.0,2,fixed_R_6.0,all,5
195,52.3,36.6,4.03,-17.0,13663.0,0.24,risk=1.0% conf>=2 tp3=fixed_R_4.0 all bias_n=5,1.0,2,fixed_R_4.0,all,5
112,50.9,35.7,3.94,-12.7,13567.0,0.31,risk=1.0% conf>=2 tp3=fixed_R_6.0 no_US2000 bias_n=3,1.0,2,fixed_R_6.0,no_US2000,3
142,53.5,34.5,3.83,-10.4,13449.0,0.37,risk=1.0% conf>=2 tp3=swing_30 no_US2000 bias_n=3,1.0,2,swing_30,no_US2000,3
228,50.9,34.2,3.8,-12.3,13421.0,0.31,risk=1.0% conf>=2 tp3=swing_30 all bias_n=5,1.0,2,swing_30,all,5
175,50.3,28.2,3.2,-17.9,12818.0,0.18,risk=1.0% conf>=2 tp3=fixed_R_6.0 all bias_n=3,1.0,2,fixed_R_6.0,all,3
221,50.7,27.4,3.12,-12.7,12745.0,0.25,risk=1.0% conf>=2 tp3=swing_30 all bias_n=3,1.0,2,swing_30,all,3
192,50.5,26.8,3.06,-17.4,12682.0,0.18,risk=1.0% conf>=2 tp3=fixed_R_4.0 all bias_n=3,1.0,2,fixed_R_4.0,all,3
