symbol,direction,entry_time,entry_price,sl,tp1,tp2,tp3,confluences,exit_time,exit_reason,rr_realized,pnl_dollar
US30,long,2026-05-19 13:30:00+00:00,49710.328125,49095.23256138393,50325.42368861607,50940.519252232145,51555.61481584822,OB+FVG+BOS,2026-06-04 14:30:00+00:00,tp3,2.01,200.99999999999997
US30,long,2026-05-28 13:30:00+00:00,50721.01171875,50137.09807477678,51304.92536272322,51888.839006696435,52472.75265066965,OB+FVG+BOS,2026-06-03 19:30:00+00:00,tp1_sl,0.33,33.0
US30,long,2026-06-08 13:30:00+00:00,51213.3515625,50544.736328125,51881.966796875,52550.58203125,53219.197265625,OB+FVG+BOS,2026-06-09 14:30:00+00:00,sl,-1.0,-100.0
US30,long,2026-06-09 13:30:00+00:00,50948.51953125,50022.67438616072,51874.36467633928,52800.209821428565,53726.05496651785,OB+FVG+BOS,2026-06-10 18:30:00+00:00,sl,-1.0,-100.0
US30,long,2026-06-11 13:30:00+00:00,50350.4609375,49730.705775669645,50970.216099330355,51315.30726841518,51660.3984375,OB+BOS,2026-06-15 13:30:00+00:00,tp3,1.5623867330871488,156.23867330871488
US100,long,2026-06-04 16:30:00+00:00,30759.3359375,29971.093122209822,31547.578752790178,32335.821568080355,33124.06438337053,OB+FVG,2026-06-05 13:30:00+00:00,sl,-1.0,-100.0
US2000,long,2026-05-20 13:30:00+00:00,2766.390625,2738.7257690429688,2794.0554809570312,2833.962432861328,2873.869384765625,OB+FVG+BOS,2026-05-22 16:30:00+00:00,tp3,2.456939500640911,245.69395006409113
US2000,long,2026-06-01 13:30:00+00:00,2932.5712890625,2866.7767333984375,2998.3658447265625,3064.160400390625,3129.9549560546875,OB+FVG+BOS,2026-06-05 15:30:00+00:00,sl,-1.0,-100.0
US2000,long,2026-06-11 13:30:00+00:00,2864.786376953125,2831.476143973214,2898.096609933036,2921.0330461774556,2943.969482421875,OB+BOS,2026-06-12 13:30:00+00:00,tp3,1.6954559765713755,169.54559765713753
