year,trades,wins,pnl,R,winrate%
2018,19,8,-317.5767632259282,-3.175767632259282,42.0
2019,32,15,2.544502029908756,0.025445020299088128,47.0
2020,38,18,-454.64841577769823,-4.546484157776981,47.0
2021,15,8,366.40091177095246,3.664009117709525,53.0
2022,24,16,1200.3058556233825,12.003058556233825,67.0
2023,29,14,914.3659979783288,9.143659979783289,48.0
2024,21,9,-90.84019951663505,-0.9084019951663502,43.0
2025,37,22,1651.63128601286,16.5163128601286,59.0
2026,12,7,125.19533993446636,1.2519533993446639,58.0
